date,startup,vertical,subvertical,city,investors,round,amount
2020-09-01,BYJU’S,E-Tech,E-learning,Bangalore,E-Tech,Private Equity Round,1650.0
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Transportation,Series C,66.3992505
2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,E-commerce,Series B,151.460595
2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,Delhi,FinTech,Pre-series A,24.75
2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Fashion and Apparel,Seed Round,14.85
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Logistics,Series A,74.25
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Hospitality,Private Equity Round,1237.5
2019-12-12,Ecozen,Technology,Agritech,Pune,Technology,Series A,49.5
2019-06-12,CarDekho,E-Commerce,Automobile,Gurugram,E-Commerce,Series D,577.5
2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bangalore,Aerospace,Seed,412.5
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurugram,Technology,Series F,165.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,B2B-focused foodtech startup,Series C,99.0
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,E-Commerce,Series E,247.5
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Finance,Debt Funding,48.675
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Video,Seed Round,16.5
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Gaming,Seed Round,412.5
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,E-Commerce,Series G,1905.75
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Software,Series H,1237.5
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,Health and wellness,Series B,4.0095
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,Education,Seed,12.375
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,Food and Beverage,Venture,0.0
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurugram,Health and Wellness,Series B,99.0
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,B2B Marketing,Debt Funding,214.5
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,143.64293625
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Video Games,Seed Funding,10.725
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",SaaS,Series C,1113.75
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Last Mile Transportation,Seed,2.475
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,E-Commerce,Seed Funding,1815.0
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Healthcare,Series B,130.35
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Last Mile Transportation,Series B,2334.75
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,FinTech,Funding Round,8250.0
2019-04-10,Dunzo,Customer Service,Delivery Service,Bangalore,Customer Service,Series D,371.25
2019-02-10,Udaan,B2B,Business development,Bangalore,B2B,Series D,4826.25
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Consumer Goods,Corporate Round,0.0
2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,FinTech,Maiden Round,37.125
2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,FinTech,Series A,27.225
2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,"Advertising, Marketing",Private Equity Round,49.5
2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,SaaS,pre-series A,41.25
2019-04-09,75F,IoT,Building automation system,Burnsville,IoT,Series A,148.5
2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Information Technology,Seed,8.25
2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,Consumer Technology,Series A,82.5
2019-04-09,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Health and Wellness,Series C,3712.5
2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,Accounting,Series A,41.25
2019-01-08,CarDekho,E-Commerce,Automotive,Gurugram,E-Commerce,Series C,165.0
2019-01-08,Progcap,Finance,Supply Chain Management,Delhi,Finance,Series A,41.25
2019-01-08,MyPetrolPump,Retail,Fuel Delivery,Bangalore,Retail,Seed Funding Round,13.2
2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,Finance,Single Venture,1155.0
2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Information Technology,Corporate Round,314.16
2019-12-08,Meesho,E-Commerce,Social Commerce,Bangalore,E-Commerce,Series D,1031.25
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,E-Commerce,Series D,90.75
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,Customer Service Platform,Series C,420.75
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Automotive,Series B,305.25
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,Consumer Goods,Seed Round,4.125
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,FinTech,Series D,907.5
2019-08-22,INDwealth,FinTech,Wealth Management,Gurugram,FinTech,Venture Round,123.75
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,Food and Beverage,Series C,54.3675
